# Dataplane.org - for operators, by operators
# sipinvitation
# 2026-09-09 05:00 - 2026-09-16 05:00
#
# The sipinvitation report is free for non-commercial use ONLY.  If you wish
# to discuss commercial use of this service, please contact us at
# info@dataplane.org.  Redistribution of the sipinvitation report in whole or
# in part without the express permission of Dataplane.org is expressly
# prohibited.
#
# This report is made possible through the generous support of people
# like you.  Sensor, processing, and distribution systems require
# non-free resources to setup and maintain.  We are always looking for
# financial contributions to help pay the bills and hosting to increase
# visibility.  If you find what we do useful, please consider supporting
# us.
#
# This report is informational.  This is not a block list.  Deriving
# malicious or benign intent for an individual entry in the face of
# NATs, address spoofing, and certain types of Internet activity
# (e.g., surveying research) can be difficult.  The report is provided
# on an as-is basis with no expressed warranty or guarantee of accuracy.
# Use of this data is at your own risk.  If you have questions about
# this report do not hesitate to contact us.
#
# Entries below are records of source IP addresses that have been
# identified as sending SIP INVITE operations.
# Each entry is sorted according to a route originating ASN.  An entry
# for the IP address is listed only once even if there are multiple
# origin AS (MOAS) announcements for the covering prefix.  We use the
# PyASN IP address to ASN mapping service to construct an origin AS
# number and name.  For details about PyASN, see:
#
#   <https://pypi.org/project/pyasn/>.
#
# The report format is as follows:
#
# ASN  |  ASname  |  ipaddr  |  lastseen  |  category
#
# Each field is described below.  Please note any special formatting
# rules to aid in processing this file with automated tools and scripts.
# Blank lines may be present to improve the visual display of this file.
# Lines beginning with a hash ('#') character are comment lines.  All
# other lines are report entries.  Each field is separated by a pipe
# symbol ('|') and at least two whitespace characters on either side.
#
#   ASN        Autonomous system number originating a route for the
#              entry IP address. Note, 4-byte ASNs are supported and
#              will be displayed as a 32-bit integer.  NA is shown if
#              an origin ASN cannot be found.
#
#   ASname     A descriptive network name for the associated ASN.  The
#              name is truncated to 30 characters.  NA is shown if an
#              AS name cannot be found.
#
#   ipaddr     The IPv4 address that is being reported.
#
#   lastseen   A last seen timestamp formatted as YYYY-mm-dd HH:MM:SS
#              in UTC time.
#
#   category   Descriptive tag name for this entry.  For this report,
#              the text sipinvitation will appear.
#
# A commented footer section shows an aggregate count of ASNs and
# addresses seen in the current report.
#
4134         |  CHINANET-BACKBONE - No.31,Jin-  |  110.185.163.138  |  2026-09-12 13:06:53  |  sipinvitation
4213         |  EVOCATIVE-GLOBAL - Krypt Techn  |  98.126.201.186   |  2026-09-16 04:58:47  |  sipinvitation
4382         |  INDONUSA-ID - PT. Indonusa Sys  |  202.93.133.153   |  2026-09-15 02:06:28  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  31.70.103.164    |  2026-09-15 20:07:20  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  31.70.86.142     |  2026-09-15 06:15:54  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  31.70.90.94      |  2026-09-14 18:18:28  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  85.215.254.109   |  2026-09-14 21:48:53  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  87.106.149.37    |  2026-09-15 09:43:43  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  87.106.201.232   |  2026-09-15 10:44:32  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  87.106.48.189    |  2026-09-15 01:01:22  |  sipinvitation
8560         |  IONOS-AS IONOS SE               |  87.106.88.170    |  2026-09-15 08:28:31  |  sipinvitation
12876        |  AS12876 Scaleway SAS            |  51.15.3.127      |  2026-09-12 23:14:44  |  sipinvitation
12876        |  AS12876 Scaleway SAS            |  51.158.252.70    |  2026-09-11 04:42:32  |  sipinvitation
13768        |  COGECO-PEER1 - Aptum Technolog  |  69.90.65.242     |  2026-09-15 19:42:50  |  sipinvitation
14956        |  ROUTERHOSTING - RouterHosting   |  144.172.97.249   |  2026-09-15 21:47:43  |  sipinvitation
16276        |  OVH OVH SAS                     |  144.217.76.62    |  2026-09-14 07:06:11  |  sipinvitation
16276        |  OVH OVH SAS                     |  162.19.19.234    |  2026-09-16 01:39:50  |  sipinvitation
16276        |  OVH OVH SAS                     |  188.165.212.224  |  2026-09-13 23:46:23  |  sipinvitation
16276        |  OVH OVH SAS                     |  198.244.200.163  |  2026-09-15 02:32:30  |  sipinvitation
16276        |  OVH OVH SAS                     |  46.105.72.225    |  2026-09-15 20:48:35  |  sipinvitation
16276        |  OVH OVH SAS                     |  5.135.252.161    |  2026-09-09 20:52:29  |  sipinvitation
16276        |  OVH OVH SAS                     |  51.254.107.50    |  2026-09-16 04:38:17  |  sipinvitation
16276        |  OVH OVH SAS                     |  51.254.174.165   |  2026-09-10 23:24:46  |  sipinvitation
16276        |  OVH OVH SAS                     |  51.254.243.118   |  2026-09-11 11:49:10  |  sipinvitation
16276        |  OVH OVH SAS                     |  51.255.153.32    |  2026-09-14 09:53:03  |  sipinvitation
16276        |  OVH OVH SAS                     |  57.128.186.159   |  2026-09-11 06:54:21  |  sipinvitation
16276        |  OVH OVH SAS                     |  57.128.186.160   |  2026-09-11 02:03:52  |  sipinvitation
16276        |  OVH OVH SAS                     |  57.128.186.161   |  2026-09-11 02:58:20  |  sipinvitation
16276        |  OVH OVH SAS                     |  57.128.186.162   |  2026-09-11 02:38:52  |  sipinvitation
16276        |  OVH OVH SAS                     |  57.128.186.163   |  2026-09-09 05:16:07  |  sipinvitation
